File,Size,Protocol,Transfer Count,Avg Transfer Time (s),Avg Throughput (bytes/s),Overhead Ratio,Std Dev Throughput
A_10kB,10kB,HTTP/1.1,1000,0.00249174427986145,4328322.639074039,0.03457031250000009,952510.9237254242
A_100kB,100kB,HTTP/1.1,100,0.0026555514335632325,41306577.995277755,0.003486328124999938,8862796.82001724
A_1MB,1MB,HTTP/1.1,10,0.005389952659606933,234411817.65328392,0.00034046173095703125,74193356.28030492
A_10MB,10MB,HTTP/1.1,1,0.04790616035461426,218881244.54937714,3.4332275390625e-05,0
